node,degree,pagerank,eigenvector,community
65957,127,1.096370897664553e-05,0.09044315024908872,1
33205,41,1.7818749014909725e-05,1.4572983777635234e-05,2
65983,111,2.987814063382271e-05,8.683206168197868e-06,2
131522,70,1.705128402679783e-05,6.776914427075163e-06,5
65987,93,2.6811577358921412e-05,2.284988679249566e-05,2
33219,48,1.7718121797850057e-05,1.4170270602927807e-07,9
33220,41,1.8165964427024034e-05,7.708764786301284e-06,5
262617,41,6.273437865325252e-06,2.117972406894704e-09,15
66013,96,2.5780854144302166e-05,2.167367404366769e-07,9
481,49,1.4493356214105232e-05,4.6556263851685303e-07,5
33273,45,1.4857066063047541e-05,1.6268699995791065e-07,2
66044,105,2.9686884856955655e-05,5.068077250705673e-07,9
33277,105,2.962794838273902e-05,1.1833830228783255e-06,5
98817,41,7.494117346807001e-06,1.8056671139475103e-10,16
131586,41,1.8423413076918848e-05,2.0266477446472163e-07,2
328201,50,4.832230702004322e-06,0.015771110657629407,1
33312,45,1.6287853326074645e-05,8.082359272229163e-06,6
553,68,2.1629100359338142e-05,2.349060975713297e-07,0
66095,125,6.745111118501691e-06,0.09089005256566085,1
164412,46,1.7175934266684036e-05,1.42095834811475e-05,5
98878,65,1.848711303096296e-05,1.1437448712533174e-07,3
98901,47,1.6537525082635044e-05,1.3230332165361198e-08,3
197205,42,1.2060352009707192e-05,2.2845383530431874e-08,3
66136,50,1.9807785747412822e-05,3.707500153243498e-07,6
98908,65,1.8531495777239645e-05,3.145898007347294e-07,3
229989,54,4.487565761857609e-06,0.026319380113708987,1
328299,42,4.917792653405007e-06,1.3124856273844176e-08,7
328300,44,5.596310898915206e-06,1.3124856273844176e-08,7
328301,42,4.917792653405007e-06,1.3124856273844176e-08,7
328302,42,4.917792653405007e-06,1.3124856273844176e-08,7
328303,42,4.917792653405007e-06,1.3124856273844176e-08,7
328304,50,9.14880079856951e-06,1.3124856273844176e-08,7
164465,41,8.1891901220933e-06,9.663890854199471e-06,2
230004,61,2.7686987272740606e-05,1.6237438382586407e-07,3
393845,46,3.7675648602997833e-06,2.208520221148376e-20,17
393846,43,3.4368704027377874e-06,2.208520221148376e-20,17
33403,93,2.603789926260051e-05,1.8255360216116288e-05,2
635,46,1.5302492401116273e-05,7.00718180291641e-07,0
33407,118,4.0050812018053754e-05,1.360797234369793e-07,5
33415,67,2.4648780246919725e-05,8.06722367524766e-06,2
33421,46,1.9036731235590073e-05,3.931513244626669e-09,2
66192,52,1.7581726147807482e-05,5.6468613801409016e-06,0
131740,163,9.786888160382653e-06,0.09808556590636716,1
66206,93,2.8188633282535385e-05,6.942037734486492e-09,18
131774,51,1.6551352495227395e-05,4.5722936754248104e-07,5
702,46,1.650406651683224e-05,3.9243552320276624e-07,0
99014,57,1.6621966135813058e-05,9.920253534585251e-07,5
66252,47,1.8425244999819945e-05,1.592069323065324e-09,18
295633,41,4.375025396369851e-06,4.429116184712199e-08,15
295635,72,8.40659756718285e-06,4.443197389438981e-08,15
99037,96,2.8929668966343383e-05,2.75916561666958e-07,6
99041,75,2.2830264908395025e-05,3.5129710954688145e-06,0
131813,46,1.4464829443032008e-05,2.1918976494370512e-07,2
744,52,1.214934783514994e-05,4.0842769914295823e-07,9
750,46,1.6080411390050225e-05,1.194857374680591e-07,0
66305,64,1.78660227143927e-05,4.028066185563788e-06,0
66328,47,1.4876248214758263e-05,0.00031473305102994886,2
33567,40,1.3187737123760847e-05,8.132624307035023e-06,0
66338,69,1.6487732715110844e-05,1.9109788533593913e-06,10
99112,46,1.9579284326973546e-05,5.4640947208483434e-08,5
197426,48,1.6840922669013334e-05,2.1037064212116382e-07,3
99122,41,1.796584609316482e-05,1.076920426706977e-92,19
99125,52,6.544837839767456e-06,1.1900803723446867e-05,13
33589,41,1.708525795312925e-05,5.828969308144845e-10,3
197432,56,7.601740054134622e-06,7.616047028254675e-06,11
66360,48,1.5767765108798437e-05,1.1587919547441234e-08,16
33594,86,1.3916625526177387e-05,1.4084184043791591e-07,20
33600,60,1.9269285024983394e-05,3.5532758253332765e-08,0
66369,74,2.3665206266046704e-05,3.2083348163432926e-06,3
99143,44,1.2753988662431267e-05,1.6753829573499326e-07,2
33614,42,2.0194950904137766e-05,1.4027567448409994e-07,5
131921,47,1.0990374925464137e-05,1.8945384501661005e-79,21
131923,51,1.309173637877266e-05,1.8945384501661005e-79,21
33626,43,1.519410364285889e-05,3.178228321293719e-08,10
66398,43,1.2465659793054483e-05,4.070428951054873e-07,0
864,53,1.5477590590139728e-05,1.5312786496161345e-06,5
66404,59,1.2074174947745233e-05,8.966878833619127e-07,2
164711,44,1.1225916356352391e-05,2.3451195980873855e-07,5
66409,44,1.494335605232418e-05,7.522966349024871e-06,5
880,149,4.1846056699346856e-05,2.2415701296734932e-05,0
33652,54,1.590371091253618e-05,8.530471800616144e-07,3
885,52,1.3185963580791684e-05,2.9090026770553478e-08,15
230268,42,8.447182467033567e-06,6.322684458685637e-07,6
33667,41,1.2331333523130364e-05,3.8683937655073077e-07,9
33675,41,1.1024066776484785e-05,6.158165552587282e-07,5
99213,71,2.6951382702678016e-05,2.0585327954043743e-09,3
33679,63,2.548507731498102e-05,7.38374254720345e-08,6
164755,46,1.2187127971861012e-05,4.15806323344108e-06,6
915,41,1.6213786884318588e-05,2.5887262725237094e-06,0
99228,46,1.126308872192504e-05,5.374325749112317e-07,6
930,59,1.9715754293440496e-05,2.1638225183672593e-07,2
132002,51,1.115619819857697e-05,1.3860303687186446e-06,0
33700,72,8.8800578803255e-06,1.4084184043791591e-07,20
66504,41,1.3403620632977553e-05,1.7970617485582984e-07,9
164814,41,9.272024699596723e-06,9.519204075589576e-06,2
976,91,3.886395249888071e-05,7.028144471771738e-06,2
164818,40,7.958169251457924e-06,1.4304609683624507e-06,2
33750,54,1.6836814047734192e-05,2.033541226263737e-06,4
99290,44,2.0838850011507852e-05,6.424587661731595e-08,0
66534,83,3.420313111693766e-05,1.1994517829293558e-05,2
66539,68,1.3667841850338121e-05,8.003341003784152e-06,11
33782,45,1.1576958334140133e-05,1.0355060443225442e-05,5
33789,86,3.118447385709336e-05,3.613056283987935e-06,3
33792,62,2.097220246188396e-05,2.254584295117604e-09,22
99337,40,7.06989207178637e-06,3.8442314656309935e-06,4
33810,54,2.310983135034814e-05,7.173615217375189e-08,9
33811,42,1.3296567688241616e-05,4.533606308835365e-08,5
1058,44,1.559738703995068e-05,4.985458419980282e-07,5
33834,48,2.2430980854206813e-05,4.696384444051976e-08,3
99372,58,1.6591446432297e-05,3.662041044531952e-05,2
33839,129,4.675281810266146e-05,8.470723855825417e-06,2
197724,70,7.051371280047699e-06,1.4084184043791591e-07,20
66664,56,2.408505435599314e-05,1.3541459575863146e-09,16
66668,53,1.56657149776202e-05,4.190600236250133e-08,0
132204,44,7.833360062264963e-06,4.135198976280459e-09,18
66671,48,1.6896033826704925e-05,7.04745644198616e-08,2
33912,56,2.2960726060719736e-05,2.5517185631580107e-09,3
1144,44,1.4982991746929927e-05,1.0294770885874709e-06,0
33921,40,1.9386999853684026e-05,7.396741003022762e-08,3
230532,41,1.158309240908775e-05,1.2233317131449664e-07,10
99462,48,7.623936461556678e-06,7.343687158770756e-07,10
33942,46,1.2883270773751943e-05,1.009109143205918e-05,0
66712,43,1.4034710070175594e-05,7.717562919564222e-07,5
361633,101,4.685021054371834e-06,0.00036723902248335014,4
361634,101,4.685021054371834e-06,0.00036723902248335014,4
361635,103,4.926748815483818e-06,0.0003675469623393388,4
361636,101,4.685021054371834e-06,0.0003672390224833502,4
361637,101,4.685021054371834e-06,0.0003672390224833502,4
361638,104,5.266790984528163e-06,0.0003672954237431036,4
361639,101,4.685021054371834e-06,0.0003672390224833502,4
361640,101,4.685021054371834e-06,0.0003672390224833502,4
361641,101,4.685021054371834e-06,0.0003672390224833502,4
361642,101,4.685021054371834e-06,0.0003672390224833502,4
361643,101,4.685021054371834e-06,0.0003672390224833502,4
361644,101,4.685021054371834e-06,0.0003672390224833502,4
361645,101,4.685021054371834e-06,0.0003672390224833502,4
361646,101,4.685021054371834e-06,0.0003672390224833502,4
361647,101,4.685021054371834e-06,0.0003672390224833502,4
361648,101,4.685021054371834e-06,0.0003672390224833502,4
361649,101,4.685021054371834e-06,0.0003672390224833502,4
361650,101,4.685021054371834e-06,0.0003672390224833502,4
361651,101,4.685021054371834e-06,0.0003672390224833502,4
361652,101,4.685021054371834e-06,0.0003672390224833502,4
361653,101,4.685021054371834e-06,0.0003672390224833502,4
361654,101,4.685021054371834e-06,0.0003672390224833502,4
361655,101,4.685021054371834e-06,0.0003672390224833502,4
361656,101,4.685021054371834e-06,0.0003672390224833502,4
361657,101,4.685021054371834e-06,0.0003672390224833502,4
361658,101,4.685021054371834e-06,0.0003672390224833502,4
361659,101,4.685021054371834e-06,0.0003672390224833502,4
361660,101,4.685021054371834e-06,0.0003672390224833502,4
361661,101,4.685021054371834e-06,0.0003672390224833502,4
361662,101,4.685021054371834e-06,0.0003672390224833502,4
361663,101,4.685021054371834e-06,0.0003672390224833502,4
361664,101,4.685021054371834e-06,0.0003672390224833502,4
361665,101,4.685021054371834e-06,0.0003672390224833502,4
361666,101,4.685021054371834e-06,0.0003672390224833502,4
230589,59,6.478752033103948e-06,3.249050984186481e-06,13
165056,42,1.5810710415253015e-05,3.765744680289743e-07,3
263385,47,7.715039427675402e-06,4.259813401506566e-06,4
230620,76,7.3453599162155435e-06,0.031564474741720076,1
230621,67,4.3975054759357e-06,0.031564474741720076,1
1244,54,1.9316020923689172e-05,6.569018775126049e-07,5
99553,46,1.2866967770391553e-05,2.292355365388296e-06,2
34044,47,1.52607314767701e-05,4.805850471486052e-07,6
66813,49,1.1710644462789473e-05,4.532215097355349e-07,2
34053,57,1.284940629500885e-05,2.541585713395848e-05,0
132357,55,2.209029043652691e-05,2.6898354750038643e-07,3
165126,43,1.2318423769871056e-05,7.740389657653055e-07,5
328970,62,5.6806343498622315e-06,7.380618775379822e-07,13
165137,42,1.1200072215001251e-05,1.5213056526010999e-07,2
132370,60,2.118729800495888e-05,1.1609917397058769e-07,0
34074,44,3.840332544515975e-06,2.208520221148376e-20,17
197934,65,5.467691372150885e-06,1.4084184043791591e-07,20
99634,42,1.1250033915381968e-05,1.209041458982191e-06,3
99636,78,3.666886924988208e-05,6.425629923039283e-08,3
132410,48,6.088682342920723e-06,1.8682952011681719e-06,15
361798,43,3.651680142076198e-06,1.1900803723446867e-05,13
361799,43,3.651680142076198e-06,1.1900803723446867e-05,13
361800,43,3.651680142076198e-06,1.1900803723446867e-05,13
361801,43,3.651680142076198e-06,1.1900803723446867e-05,13
197962,52,2.805731344787142e-05,1.076920426706977e-92,23
361802,43,3.651680142076198e-06,1.1900803723446867e-05,13
361804,45,3.895504316623634e-06,1.1900803723446867e-05,13
361805,43,3.651680142076198e-06,1.1900803723446867e-05,13
361806,43,3.651680142076198e-06,1.1900803723446867e-05,13
361803,43,3.651680142076198e-06,1.1900803723446867e-05,13
66898,40,6.054811992567708e-06,1.658090386003417e-07,5
34135,111,2.4633228726986467e-05,9.003100916763271e-06,5
34140,79,1.9839378095750737e-05,6.366967455017635e-06,0
99682,57,1.764560801213611e-05,2.6459091220374742e-06,0
66915,70,2.529205778238989e-05,6.833800463916364e-09,5
230759,57,6.130427401905688e-06,7.218598131469405e-08,15
230761,54,5.597590233549057e-06,7.218598131469405e-08,15
230762,53,6.0536354228309375e-06,7.171787525556524e-08,15
34158,44,1.3594679574990916e-05,2.1776739828848794e-08,2
361847,43,3.651680142076198e-06,1.1900803723446867e-05,13
361848,43,3.651680142076198e-06,1.1900803723446867e-05,13
361849,43,3.651680142076198e-06,1.1900803723446867e-05,13
361850,43,3.651680142076198e-06,1.1900803723446867e-05,13
99707,55,1.268233045636756e-05,1.5253532404599452e-07,6
165244,57,2.3779189066539518e-05,8.717369098414697e-09,2
230781,56,1.445649051526338e-05,3.2827447387210527e-07,5
165245,50,1.273068713025958e-05,3.3018251066553074e-07,2
230779,50,1.061463477428358e-05,9.305563846740069e-06,5
361851,49,5.667171574191825e-06,1.1900803723446867e-05,13
361852,43,3.651680142076198e-06,1.1900803723446867e-05,13
361853,43,3.651680142076198e-06,1.1900803723446867e-05,13
361854,43,3.651680142076198e-06,1.1900803723446867e-05,13
361858,43,3.651680142076198e-06,1.1900803723446867e-05,13
361855,43,3.651680142076198e-06,1.1900803723446867e-05,13
361856,43,3.651680142076198e-06,1.1900803723446867e-05,13
361857,43,3.651680142076198e-06,1.1900803723446867e-05,13
361859,43,3.651680142076198e-06,1.1900803723446867e-05,13
34188,50,1.560451325275647e-05,3.6439235701287207e-10,16
66958,101,3.4745120613470736e-05,3.1806294950442324e-07,16
34190,47,1.3338664202845732e-05,2.820287705367642e-07,5
1442,158,5.0063709990021214e-05,0.0009627989747440992,2
99746,63,2.0561662275240516e-05,7.576118567342086e-07,5
66992,64,2.0796539813220137e-05,3.4530297290408706e-07,5
66993,43,1.0234675983341298e-05,5.182868875117604e-06,5
99769,63,1.5842539452708142e-05,3.1403183440065166e-07,25
198074,42,9.01208356476925e-06,4.942513382106376e-06,5
34245,42,1.4025764697946289e-05,8.383583998084741e-07,2
99788,63,2.1426459086540062e-05,3.4520879156719175e-07,3
67024,163,1.1539453862087293e-05,0.09781843341629784,1
34261,56,1.8391218776408496e-05,2.5960822568082804e-07,5
34263,104,1.6659724965728763e-05,2.8451444837518704e-05,13
34271,48,1.692247848579558e-05,2.668648914687997e-07,2
67039,42,1.757718980477939e-05,7.421479981021402e-06,3
34274,61,2.2176393969678376e-05,3.5237163796449273e-07,5
34277,61,1.9980369331315864e-05,3.317717193388355e-07,5
165355,120,7.208538951117591e-06,0.09044315024908872,1
34284,45,1.6340471152440026e-05,2.6417824230577153e-09,14
165360,54,1.4368363423247041e-05,7.488913694428767e-06,5
34294,60,2.3491191678313307e-05,5.57190548403965e-07,2
67062,55,2.2900813117197415e-05,1.4348479858946105e-07,3
34296,47,1.1485461468169081e-05,5.703117510556229e-07,11
67082,44,1.848236066891651e-05,7.857251554639812e-09,6
34319,61,1.9594610121321018e-05,1.2300197045338696e-06,0
34330,74,1.7722820078654318e-05,0.0002597789761451034,0
230952,65,7.926953638389886e-06,7.687631057275013e-06,11
34355,71,2.035484376425634e-05,2.537018036622826e-06,5
198198,62,4.482078207177266e-06,1.4084184043791591e-07,20
34361,56,2.5724831855121024e-05,1.2270240258296774e-07,2
1596,45,1.3752339771017275e-05,3.7080268821050857e-06,0
67140,130,2.710592861328802e-05,1.2764089796207715e-05,5
34372,87,3.244788756333858e-05,1.700374027478742e-07,16
67142,83,3.364886475445055e-05,8.48861679559382e-09,6
132679,55,1.994666042648966e-05,9.446732899031323e-09,3
34376,77,2.814839732457145e-05,1.5630336644142174e-07,14
34373,43,1.7076614611272744e-05,1.1734526060020915e-08,6
99917,54,1.567457841754807e-05,1.7872374084399215e-10,15
67153,44,2.006626961184584e-05,1.7066520702444297e-07,3
1630,51,2.536283474295059e-05,1.076920426706977e-92,26
34418,73,1.76931987389743e-05,4.060371082588178e-06,2
67186,61,2.1771701792405983e-05,3.0524678946400566e-08,0
67191,42,9.747337484793317e-06,6.435287987151485e-06,0
67198,46,1.535512592276361e-05,2.3122612951915348e-07,14
34434,50,1.8713397348578792e-05,2.1848228456125675e-05,2
132766,45,1.3772630926672453e-05,1.8950939803614787e-07,9
67240,61,2.512249214799877e-05,1.4590976212386225e-10,9
132780,47,1.5623480369815248e-05,8.825742055207296e-08,16
67245,54,1.463692089555643e-05,8.890775673891223e-07,5
34480,69,1.6879041571111684e-05,0.0009053342541290621,2
132799,40,9.330142705749868e-06,2.401745128413648e-07,2
132826,90,2.683970960853923e-05,6.382380887776978e-06,3
100067,46,1.9664820517400477e-05,5.143773935620031e-06,2
100094,50,1.7912330574591976e-05,3.4259539026385655e-07,5
34561,148,4.406501463113664e-05,3.10344996255337e-05,5
34562,41,1.8289791661470754e-05,1.985829381463536e-09,6
34567,51,1.6713416115459175e-05,2.1097778193388172e-07,9
1806,43,1.8690729809888387e-05,2.01356884021035e-07,2
34583,67,2.22983186717823e-05,6.710898285511893e-07,2
34585,55,2.001506309883366e-05,7.505141557805325e-08,2
34599,55,2.510637568106133e-05,1.2936242814150753e-07,11
100143,44,2.0465919554176468e-05,3.685236387494567e-09,9
34632,65,2.0136859849552746e-05,4.928733325705558e-07,5
34636,80,2.9718449698783127e-05,1.0482856708687672e-07,9
1886,49,2.0883781421263633e-05,2.403163387744637e-06,5
67437,48,1.2326449638952294e-05,3.715145665420479e-07,2
34669,40,1.4358020793989024e-05,1.6835120579835907e-07,5
67457,51,1.6191443087752074e-05,0.0008160121506941099,2
34690,45,1.4349403360388396e-05,1.1894867604354989e-06,0
296856,62,4.482078207177266e-06,1.4084184043791591e-07,20
1945,76,1.999411297506227e-05,9.750026780998461e-06,0
296857,62,4.482078207177266e-06,1.4084184043791591e-07,20
67483,72,1.82795659630636e-05,1.558325715961564e-06,5
296858,62,4.482078207177266e-06,1.4084184043791591e-07,20
296859,62,4.482078207177266e-06,1.4084184043791591e-07,20
296860,62,4.482078207177266e-06,1.4084184043791591e-07,20
67487,59,1.7365806352263614e-05,6.285432024076249e-07,2
100252,41,1.0328444815342878e-05,1.1547837814929558e-07,10
1953,105,3.2379336976627506e-05,7.993119794131071e-06,5
67493,61,2.2377507033770044e-05,9.688628315273492e-08,5
34726,50,2.1249563432269966e-05,5.627995012087402e-07,2
1961,53,2.2033019355061737e-05,1.6073939320193754e-05,2
1964,62,2.4936367500547487e-05,1.7339465388775007e-05,2
362437,47,4.974149789402223e-06,1.1003314856700625e-07,22
362438,47,4.974149789402223e-06,1.1003314856700625e-07,22
362439,47,4.974149789402223e-06,1.1003314856700625e-07,22
1992,41,1.5442160984260982e-05,1.6905433188690142e-07,0
34763,53,1.6359806738932832e-05,7.4626738637400945e-06,5
362443,45,3.895504316623634e-06,1.1900803723446867e-05,13
100312,54,1.8379456262435383e-05,2.6261956528205816e-06,3
67556,73,1.8376451544522827e-05,2.2388768058947157e-06,15
34793,132,3.635818482148092e-05,8.805926893291815e-06,5
100335,45,1.047445151387645e-05,2.229953418696624e-07,5
34801,48,1.3093480900148653e-05,1.0901723749414986e-06,0
34807,54,2.1567887709427544e-05,2.307015003260278e-07,5
100359,65,1.5801334819378504e-05,9.006811760725772e-07,2
2060,57,2.43576677636222e-05,5.602109361348818e-06,0
100367,47,1.2151821823640325e-05,6.232269307786792e-07,2
34839,54,9.77551443255328e-06,1.964911480095353e-08,15
34853,70,2.7976552933301834e-05,3.303620240455334e-07,0
100392,67,2.7804210021017647e-05,2.611873944260368e-09,16
100406,43,1.697248652574205e-05,1.076920426706977e-92,27
34877,65,1.2655581419745745e-05,0.00011387798484421717,2
231487,69,1.2648764528515857e-05,4.50910364615298e-09,18
165958,44,9.166757701956352e-06,5.7891281911844675e-09,15
133191,45,1.7419530612644874e-05,8.768907091748622e-08,5
34890,55,1.9238536137294954e-05,3.536357090025376e-06,2
2131,40,1.59725490402964e-05,8.097935536112211e-06,2
2133,56,1.6033713143391078e-05,1.5566003978547404e-05,0
67676,82,2.9075847369713458e-05,1.796746824330427e-08,2
67677,73,1.7776880926113605e-05,2.6288909296511095e-06,10
100455,72,2.412019540762154e-05,3.006150843978034e-08,6
165992,106,2.2436622227394304e-05,1.631424961967587e-09,16
34920,101,3.546463237835023e-05,4.4804430246472396e-07,2
231527,62,6.548358432521223e-06,1.1900803723446867e-05,13
34925,60,2.0395720499015268e-05,3.341236972477728e-05,2
67706,79,2.0978517397903094e-05,1.9108419817340062e-05,5
67734,102,4.0577163956583785e-05,2.4959409866777335e-08,3
67739,83,2.508889864479882e-05,2.557393995260849e-07,9
34975,119,2.8224091512684203e-05,0.00028079818437133777,0
67743,56,1.6420925370581325e-05,2.523032602506729e-07,2
67745,42,1.2211774509633412e-05,2.523032602506729e-07,2
34982,51,2.0604267344952018e-05,2.5345623993923657e-07,5
297145,62,4.482078207177266e-06,1.4084184043791591e-07,20
297146,62,4.482078207177266e-06,1.4084184043791591e-07,20
297147,62,4.482078207177266e-06,1.4084184043791591e-07,20
297148,62,4.482078207177266e-06,1.4084184043791591e-07,20
297149,62,4.482078207177266e-06,1.4084184043791591e-07,20
297150,62,4.482078207177266e-06,1.4084184043791591e-07,20
297151,62,4.482078207177266e-06,1.4084184043791591e-07,20
297152,62,4.482078207177266e-06,1.4084184043791591e-07,20
297153,62,4.482078207177266e-06,1.4084184043791591e-07,20
297154,62,4.482078207177266e-06,1.4084184043791591e-07,20
297155,62,4.482078207177266e-06,1.4084184043791591e-07,20
297156,62,4.482078207177266e-06,1.4084184043791591e-07,20
297157,62,4.482078207177266e-06,1.4084184043791591e-07,20
297158,62,4.482078207177266e-06,1.4084184043791591e-07,20
297159,62,4.482078207177266e-06,1.4084184043791591e-07,20
35011,45,1.5789695176079673e-05,3.286310111908688e-09,3
67787,67,1.893706400927702e-05,4.612154075543784e-05,2
35025,49,1.3507838279545843e-05,3.5654754413708896e-06,10
67804,40,1.0578199965154479e-05,6.220724996475662e-07,0
100585,94,1.7157676580034397e-05,1.624628649564443e-05,10
100587,42,6.198606243757107e-06,8.526330170524117e-07,10
100588,87,1.4019242692029715e-05,1.61798144001209e-05,10
35053,51,1.9686853991706338e-05,7.4548913507632975e-06,0
2316,76,2.5892438307313172e-05,2.832801066735687e-06,5
100630,70,2.2864761316918348e-05,8.25764517347499e-08,3
133414,43,1.3257435317648153e-05,1.506663934081794e-08,5
67901,44,2.1254189878333685e-05,6.161590157336669e-08,0
35142,71,2.340503618581105e-05,2.363737884354619e-06,9
35151,62,1.960316406248065e-05,5.101430127594436e-07,9
35157,67,1.632313567852003e-05,4.5311219695308975e-06,2
67943,51,1.459459825590343e-05,3.5615285126882553e-07,6
2414,72,2.6695937564539972e-05,2.525115780315626e-07,6
100719,42,1.0667033011525332e-05,1.4961112322927628e-07,2
2419,146,6.110128766420005e-05,4.255482146868368e-07,3
264566,54,7.136090438417968e-06,1.1003314856700625e-07,22
35192,78,3.537033818664304e-05,6.622765809316357e-08,9
35196,98,2.4585399906844814e-05,2.6969799318728396e-05,0
231805,48,5.617973656790054e-06,7.540428196123848e-06,11
133507,41,1.4013302814225824e-05,4.084830937477482e-11,9
100741,165,3.245180917577869e-05,3.069694271958656e-10,16
166279,60,9.032314345375317e-06,7.540428196123848e-06,11
35213,109,2.8872324759445807e-05,3.114242948322586e-07,9
199059,163,1.003502142082396e-05,0.09798181058601897,1
67991,45,1.9613742877412228e-05,1.5646391198491768e-10,6
35230,91,2.8344350343634506e-05,2.3434619469460286e-05,2
2463,70,2.8674361788535467e-05,1.8693905142665495e-07,2
35234,45,1.622528617059215e-05,1.358979553886651e-07,5
166307,64,1.507726437924516e-05,2.038125964592689e-05,0
35239,51,1.2869067121933706e-05,1.0532831012394902e-05,5
35240,49,1.903603743291766e-05,9.55223252850287e-06,2
35244,110,3.373172287144501e-05,3.102815060581691e-07,0
35248,76,2.6321613994724774e-05,0.0008287757946250618,2
35249,145,3.495129434442166e-05,0.00018408657427228256,2
2488,58,1.190819780291486e-05,1.315992761756285e-08,7
100794,46,1.563927296115909e-05,9.714064202411853e-08,3
2491,42,1.3273708400012675e-05,6.413515415424059e-07,0
35285,63,2.042403816503288e-05,4.883476652628245e-07,3
100828,48,1.6363380555675398e-05,1.5415491775942124e-08,5
2528,51,1.6017856768502938e-05,1.9695389648261844e-05,2
35298,114,3.108031719326477e-05,9.886664260029773e-06,2
35311,46,1.549525391420277e-05,2.812216637101007e-07,6
100850,45,1.2227341096628078e-05,4.049083577183241e-06,6
35320,53,1.839719088629611e-05,1.6320724217235105e-07,5
